Fecha,Tipo de Cambio
01/06/2022,19.694
02/06/2022,19.7388
03/06/2022,19.5585
06/06/2022,19.5742
07/06/2022,19.5547
08/06/2022,19.5998
09/06/2022,19.59
10/06/2022,19.6128
13/06/2022,19.9297
14/06/2022,20.4527
15/06/2022,20.6583
16/06/2022,20.6675
17/06/2022,20.5728
20/06/2022,20.476
21/06/2022,20.2442
22/06/2022,20.1963
23/06/2022,20.0465
24/06/2022,20.0365
27/06/2022,19.8707
28/06/2022,19.8797
29/06/2022,19.9847
30/06/2022,20.1443
01/07/2022,20.1335
04/07/2022,20.3817
05/07/2022,20.2877
06/07/2022,20.5598
07/07/2022,20.7228
08/07/2022,20.6022
11/07/2022,20.4423
12/07/2022,20.7473
13/07/2022,20.7882
14/07/2022,20.7613
15/07/2022,20.9415
18/07/2022,20.611
19/07/2022,20.3957
20/07/2022,20.4407
21/07/2022,20.4913
22/07/2022,20.6562
25/07/2022,20.515
26/07/2022,20.4652
27/07/2022,20.433
28/07/2022,20.512
29/07/2022,20.3778
01/08/2022,20.3485
02/08/2022,20.2633
03/08/2022,20.5152
04/08/2022,20.6305
05/08/2022,20.3358
08/08/2022,20.401
09/08/2022,20.2789
10/08/2022,20.2715
11/08/2022,19.9562
12/08/2022,19.9595
15/08/2022,19.874
16/08/2022,19.8618
17/08/2022,19.9303
18/08/2022,20.0387
19/08/2022,20.0835
22/08/2022,20.1957
23/08/2022,20.1598
24/08/2022,19.9982
25/08/2022,19.9198
26/08/2022,19.9437
29/08/2022,19.9268
30/08/2022,19.9945
31/08/2022,20.1465
01/09/2022,20.0962
02/09/2022,20.2473
05/09/2022,19.9753
06/09/2022,19.962
07/09/2022,20.138
08/09/2022,20.0297
09/09/2022,20.0203
12/09/2022,19.9027
13/09/2022,19.7957
14/09/2022,20.055
15/09/2022,19.9768
19/09/2022,20.0525
20/09/2022,19.9943
21/09/2022,20
22/09/2022,20.0027
23/09/2022,19.9608
26/09/2022,20.1627
27/09/2022,20.3517
28/09/2022,20.357
29/09/2022,20.3058
30/09/2022,20.1927
03/10/2022,20.0925
04/10/2022,20.0008
05/10/2022,19.9698
06/10/2022,20.1267
07/10/2022,20.1087
10/10/2022,20.0502
11/10/2022,19.9752
12/10/2022,19.9652
13/10/2022,20.0352
14/10/2022,20.0398
17/10/2022,20.0838
18/10/2022,19.9913
19/10/2022,20.0207
20/10/2022,20.1272
21/10/2022,20.0448
24/10/2022,19.9647
25/10/2022,19.9535
26/10/2022,19.8712
27/10/2022,19.8553
28/10/2022,19.8365
31/10/2022,19.8303
01/11/2022,19.8245
03/11/2022,19.7463
04/11/2022,19.6673
07/11/2022,19.5202
08/11/2022,19.4647
09/11/2022,19.4775
10/11/2022,19.5887
11/11/2022,19.394
14/11/2022,19.5353
15/11/2022,19.4015
16/11/2022,19.3818
17/11/2022,19.3137
18/11/2022,19.4333
22/11/2022,19.493
23/11/2022,19.4667
24/11/2022,19.3683
25/11/2022,19.3692
28/11/2022,19.3393
29/11/2022,19.325
30/11/2022,19.216
01/12/2022,19.3965
02/12/2022,19.1433
05/12/2022,19.3422
06/12/2022,19.7567
07/12/2022,19.803
08/12/2022,19.6977
09/12/2022,19.6732
13/12/2022,19.8192
14/12/2022,19.6458
15/12/2022,19.6955
16/12/2022,19.7963
19/12/2022,19.7932
20/12/2022,19.7557
21/12/2022,19.7482
22/12/2022,19.6932
23/12/2022,19.574
26/12/2022,19.4287
27/12/2022,19.3983
28/12/2022,19.4407
29/12/2022,19.4143
30/12/2022,19.3615
02/01/2023,19.4715
03/01/2023,19.4883
04/01/2023,19.422
05/01/2023,19.3568
06/01/2023,19.3672
09/01/2023,19.1753
10/01/2023,19.1648
11/01/2023,19.1108
12/01/2023,19.026
13/01/2023,18.8735
16/01/2023,18.7922
17/01/2023,18.7913
18/01/2023,18.7493
19/01/2023,18.7493
20/01/2023,19.0327
23/01/2023,18.9257
24/01/2023,18.8267
25/01/2023,18.8318
26/01/2023,18.82
27/01/2023,18.8355
30/01/2023,18.7872
31/01/2023,18.7793
01/02/2023,18.7937
02/02/2023,18.739
03/02/2023,18.6232
07/02/2023,18.8895
08/02/2023,19.0517
09/02/2023,18.9435
10/02/2023,18.9543
13/02/2023,18.6893
14/02/2023,18.6327
15/02/2023,18.5383
16/02/2023,18.6428
17/02/2023,18.5497
20/02/2023,18.4142
21/02/2023,18.397
22/02/2023,18.3938
23/02/2023,18.3483
24/02/2023,18.4107
27/02/2023,18.4023
28/02/2023,18.4077
01/03/2023,18.3448
02/03/2023,18.17
03/03/2023,18.126
06/03/2023,18.0123
07/03/2023,18.0122
08/03/2023,18.1155
09/03/2023,17.9662
10/03/2023,18.0577
13/03/2023,18.4083
14/03/2023,18.8302
15/03/2023,18.6427
16/03/2023,18.9972
17/03/2023,18.9095
21/03/2023,18.8977
22/03/2023,18.6755
23/03/2023,18.5437
24/03/2023,18.4902
27/03/2023,18.5178
28/03/2023,18.383
29/03/2023,18.2523
30/03/2023,18.1052
31/03/2023,18.0932
03/04/2023,18.0415
04/04/2023,18.107
05/04/2023,18.1185
10/04/2023,18.3323
11/04/2023,18.1765
12/04/2023,18.187
13/04/2023,18.066
14/04/2023,18.0152
17/04/2023,18.0638
18/04/2023,18.0868
19/04/2023,18.063
20/04/2023,18.0448
21/04/2023,18.009
24/04/2023,17.9988
25/04/2023,18.0082
26/04/2023,18.0892
27/04/2023,18.103
28/04/2023,18.0723
02/05/2023,17.9975
03/05/2023,18.0325
04/05/2023,17.906
05/05/2023,17.9575
08/05/2023,17.7863
09/05/2023,17.8213
10/05/2023,17.7608
11/05/2023,17.5845
12/05/2023,17.6287
15/05/2023,17.6142
16/05/2023,17.538
17/05/2023,17.4672
18/05/2023,17.5872
19/05/2023,17.7342
22/05/2023,17.693
23/05/2023,17.868
24/05/2023,17.9687
25/05/2023,17.8195
26/05/2023,17.8252
29/05/2023,17.6723
30/05/2023,17.5605
31/05/2023,17.6532
01/06/2023,17.7418
02/06/2023,17.5673
05/06/2023,17.5063
06/06/2023,17.4732
07/06/2023,17.4192
08/06/2023,17.3608
09/06/2023,17.4085
12/06/2023,17.284
13/06/2023,17.312
14/06/2023,17.2185
15/06/2023,17.1247
16/06/2023,17.1762
19/06/2023,17.0792
20/06/2023,17.0945
